City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Acajutla,SV,13.5928,-89.8275,78.03,85,66,5.1,broken clouds
156,Alofi,NU,-19.0595,-169.9187,75.09,69,33,10.36,scattered clouds
157,Nizwa,OM,22.9333,57.5333,78.37,82,95,4.68,overcast clouds
158,Datong,CN,40.0936,113.2914,70.48,66,100,8.59,moderate rain
159,Bowen,AU,-20.0167,148.2333,70.79,59,0,15.26,clear sky
160,Saint-Augustin,CA,51.226,-58.6502,59.54,77,33,11.59,scattered clouds
161,Santa Cruz De La Palma,ES,28.6835,-17.7642,75.34,64,0,11.5,clear sky
162,Sorland,NO,67.667,12.6934,49.86,78,100,24.65,overcast clouds
163,Flin Flon,CA,54.7682,-101.865,54.23,91,100,7.67,overcast clouds
164,Berbera,SO,10.4396,45.0143,91.04,34,8,29.51,clear sky
165,Omsukchan,RU,62.5333,155.8,60.42,36,98,10.07,overcast clouds
166,Kailua,US,21.4022,-157.7394,80.58,73,40,12.66,scattered clouds
167,Havre,FR,49.5833,0.3333,58.77,88,100,4.61,overcast clouds
168,San Patricio,US,28.017,-97.5169,85.89,77,87,12.68,overcast clouds
169,Mporokoso,ZM,-9.3727,30.125,55.83,76,45,7.31,scattered clouds
170,Pevek,RU,69.7008,170.3133,35.98,83,100,11.36,overcast clouds
171,Kodiak,US,57.79,-152.4072,53.11,71,0,4.61,clear sky
172,Hamilton,US,39.1834,-84.5333,72.45,94,0,0.0,mist
173,Raga,SS,8.4596,25.678,69.08,95,100,3.31,overcast clouds
174,Salalah,OM,17.0151,54.0924,75.29,100,100,5.75,light intensity drizzle
175,Wanlaweyn,SO,2.6185,44.8938,75.0,76,55,16.22,broken clouds
176,Itaituba,BR,-4.2761,-55.9836,73.47,63,34,1.7,scattered clouds
177,Japura,ID,-0.3167,102.35,88.02,60,93,4.45,overcast clouds
178,Nuuk,GL,64.1835,-51.7216,41.61,100,100,11.5,overcast clouds
179,Clyde River,CA,70.4692,-68.5914,41.23,100,100,4.61,overcast clouds
180,Lodwar,KE,3.1191,35.5973,76.12,53,90,15.59,overcast clouds
181,Harper,LR,4.375,-7.7169,74.82,84,99,8.81,light rain
