City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Belaya Glina,RU,2022-07-27 00:55:22,46.07,40.86,64.78,85,100,6.38
132,Caravelas,BR,2022-07-27 00:55:22,-17.7125,-39.2481,70.66,78,2,7.09
133,Hasaki,JP,2022-07-27 00:55:23,35.7333,140.8333,90.28,81,98,17.31
134,Narayangarh,IN,2022-07-27 00:55:23,30.4833,77.1333,82.09,70,99,4.92
135,Upernavik,GL,2022-07-27 00:55:23,72.7868,-56.1549,38.07,88,94,8.59
136,Yellowknife,CA,2022-07-27 00:55:24,62.456,-114.3525,70.32,52,20,8.05
137,Santa Rosalia,MX,2022-07-27 00:55:24,27.3167,-112.2833,86.88,51,6,3.83
138,Udachnyy,RU,2022-07-27 00:55:24,66.4167,112.4,75.45,56,8,13.94
139,Pevek,RU,2022-07-27 00:56:25,69.7008,170.3133,34.39,87,100,11.92
140,Kavieng,PG,2022-07-27 00:56:25,-2.5744,150.7967,85.28,63,40,12.88
141,Brae,GB,2022-07-27 00:56:26,60.3964,-1.353,50.02,88,55,6.04
142,Zyrardow,PL,2022-07-27 00:56:26,52.0488,20.446,64.8,99,14,7.7
143,Les Cayes,HT,2022-07-27 00:56:26,18.2,-73.75,79.81,79,74,6.06
144,Kasongo-Lunda,CD,2022-07-27 00:56:27,-6.4667,16.8167,68.92,33,25,1.41
145,Nelson Bay,AU,2022-07-27 00:56:27,-32.7167,152.15,60.01,60,0,18.01
146,Augustow,PL,2022-07-27 00:56:09,53.8432,22.9798,59.0,98,100,5.55
147,Kruisfontein,ZA,2022-07-27 00:56:28,-34.0033,24.7314,55.96,72,99,17.34
148,Mamallapuram,IN,2022-07-27 00:56:28,12.6264,80.1722,82.06,71,14,2.93
149,Bobrovka,RU,2022-07-27 00:56:28,54.047,61.7455,63.27,86,100,6.89
150,East London,ZA,2022-07-27 00:56:29,-33.0153,27.9116,64.4,43,14,4.7
151,Cabo San Lucas,MX,2022-07-27 00:56:29,22.8909,-109.9124,93.18,72,44,13.98
152,Kungurtug,RU,2022-07-27 00:56:29,50.5994,97.5228,54.25,55,100,1.74
153,Marawi,PH,2022-07-27 00:56:30,7.9986,124.2928,79.38,68,49,2.77
154,Tianmen,CN,2022-07-27 00:56:30,30.6516,113.1603,84.42,85,96,6.91
155,Nouakchott,MR,2022-07-27 00:56:31,18.0858,-15.9785,82.33,81,100,12.08
156,Rio Grande,BR,2022-07-27 00:56:31,-32.035,-52.0986,62.71,97,36,8.7
157,Nanlong,CN,2022-07-27 00:56:31,31.3533,106.0631,83.75,80,56,6.11
158,Leningradskiy,RU,2022-07-27 00:56:32,69.3833,178.4167,35.69,94,100,5.84
159,Coquimbo,CL,2022-07-27 00:56:32,-29.9533,-71.3436,55.13,94,75,2.3
160,Lalsk,RU,2022-07-27 00:56:32,60.7415,47.5862,52.23,80,56,3.2
161,Okitipupa,NG,2022-07-27 00:56:33,6.5047,4.7839,73.06,98,85,1.88
162,Astoria,US,2022-07-27 00:56:33,46.1879,-123.8313,62.49,88,100,9.22
163,Pangnirtung,CA,2022-07-27 00:56:33,66.1451,-65.7125,48.04,77,33,3.67
164,Chuy,UY,2022-07-27 00:56:34,-33.6971,-53.4616,58.91,96,25,6.17
165,Mangulile,HN,2022-07-27 00:56:34,15.0667,-86.8,73.89,96,61,2.15
166,Luderitz,NA,2022-07-27 00:56:34,-26.6481,15.1594,53.94,78,0,2.66
167,Nevel,RU,2022-07-27 00:56:35,56.0209,29.9284,59.74,94,100,4.52
168,Roald,NO,2022-07-27 00:56:35,62.5833,6.1333,53.17,93,100,10.36
169,Revelstoke,CA,2022-07-27 00:56:36,50.9832,-118.2023,93.22,26,0,5.75
170,Magdagachi,RU,2022-07-27 00:56:36,53.45,125.8,81.99,51,87,7.58
171,Mecca,SA,2022-07-27 00:56:36,21.4267,39.8261,86.47,58,99,4.0
172,Karad,IN,2022-07-27 00:56:37,17.2833,74.2,71.71,91,100,2.13
173,Levski,BG,2022-07-27 00:56:37,43.3667,25.1333,73.87,41,41,3.71
174,Barcelos,PT,2022-07-27 00:53:18,41.5388,-8.6151,65.84,87,0,2.53
175,San Patricio,US,2022-07-27 00:56:38,28.017,-97.5169,90.54,57,100,14.72
176,Cockburn Town,TC,2022-07-27 00:56:38,21.4612,-71.1419,82.09,80,0,16.28
177,Fuyang,CN,2022-07-27 00:56:38,32.9,115.8167,84.11,64,94,5.01
178,Haines Junction,CA,2022-07-27 00:56:39,60.7522,-137.5108,69.75,37,97,17.27
179,Nikolskoye,RU,2022-07-27 00:56:39,59.7035,30.7861,66.79,91,100,5.01
180,Kathmandu,NP,2022-07-27 00:56:39,27.7167,85.3167,68.22,100,100,3.44
181,Qasigiannguit,GL,2022-07-27 00:56:40,68.8193,-51.1922,38.53,98,100,3.33
182,Kodiak,US,2022-07-27 00:56:40,57.79,-152.4072,51.66,72,100,7.25
183,Wagar,SD,2022-07-27 00:56:40,16.1525,36.2032,78.67,71,100,15.46
184,Voloshka,RU,2022-07-27 00:56:41,61.3314,40.0858,63.19,79,94,4.97
185,Coahuayana,MX,2022-07-27 00:56:41,18.7333,-103.6833,81.93,76,99,2.77
186,Ixtapa,MX,2022-07-27 00:57:42,20.7,-105.2,79.34,90,100,2.01
187,Saint George,US,2022-07-27 00:57:42,37.1041,-113.5841,97.63,29,15,5.01
188,Porto Novo,BJ,2022-07-27 00:57:42,6.4965,2.6036,78.62,89,100,9.66
189,Kavaratti,IN,2022-07-27 00:57:43,10.5669,72.642,81.45,77,100,16.11
190,San Jose,US,2022-07-27 00:56:33,37.3394,-121.895,84.85,52,0,10.36
191,Alofi,NU,2022-07-27 00:57:43,-19.0595,-169.9187,78.69,100,40,14.97
192,Iquique,CL,2022-07-27 00:57:44,-20.2208,-70.1431,59.04,78,58,1.99
193,Palu,ID,2022-07-27 00:57:44,-0.8917,119.8707,82.72,77,100,0.94
194,Fortuna,US,2022-07-27 00:57:45,40.5982,-124.1573,65.08,77,36,4.0
195,Bom Jesus Do Itabapoana,BR,2022-07-27 00:57:45,-21.1339,-41.6797,64.04,97,3,2.24
196,Amalapuram,IN,2022-07-27 00:57:45,16.5833,82.0167,78.93,87,100,1.9
197,Beringovskiy,RU,2022-07-27 00:57:46,63.05,179.3167,46.47,95,100,9.86
198,Krasnoselkup,RU,2022-07-27 00:57:46,65.7,82.4667,60.21,68,100,10.13
199,Koungou,YT,2022-07-27 00:57:47,-12.7336,45.2042,67.71,94,0,4.61
200,Ayagoz,KZ,2022-07-27 00:57:47,47.9714,80.4392,69.26,37,87,7.45
201,Rawson,AR,2022-07-27 00:57:47,-43.3002,-65.1023,45.14,95,100,10.85
202,Mar Del Plata,AR,2022-07-27 00:55:42,-38.0023,-57.5575,55.09,98,100,5.75
203,Narsaq,GL,2022-07-27 00:57:48,60.9167,-46.05,44.19,90,25,0.38
204,Kahului,US,2022-07-27 00:57:49,20.8947,-156.47,83.97,80,49,8.99
205,Artvin,TR,2022-07-27 00:57:49,41.1667,41.8333,57.34,92,9,0.69
206,Paka,MY,2022-07-27 00:57:50,4.6374,103.4368,78.73,94,40,0.0
207,General Roca,AR,2022-07-27 00:57:50,-39.0333,-67.5833,40.62,93,100,10.67
208,Hualmay,PE,2022-07-27 00:57:50,-11.0964,-77.6139,62.4,83,88,12.01
209,Kwinana,AU,2022-07-27 00:57:51,-32.25,115.7667,57.34,93,100,5.44
210,Panji,ID,2022-07-27 00:57:51,-7.7253,114.0995,82.38,59,3,2.51
